Ubar,Mubar,Iters_gpu
14.8,-1.0,20000
14.9,-1.0,20000
15.0,-1.0,20000
15.0,35.0,20000
15.0,39.0,20000
15.100000000000001,-1.0,20000
15.200000000000001,-1.0,20000
15.3,-1.0,20000
15.4,-1.0,20000
15.5,-1.0,20000
15.600000000000001,-1.0,20000
15.600000000000001,18.200000000000003,20000
15.600000000000001,27.6,20000
15.700000000000001,-1.0,20000
15.8,-1.0,20000
15.9,-1.0,20000
16.0,-1.0,20000
16.1,-1.0,20000
16.1,36.800000000000004,20000
16.1,42.7,20000
16.2,-1.0,20000
16.3,-1.0,20000
16.400000000000002,-1.0,20000
16.5,-1.0,20000
16.5,37.5,20000
16.5,44.0,20000
16.6,-1.0,20000
16.7,-1.0,20000
16.8,-1.0,20000
16.900000000000002,-1.0,20000
17.0,-1.0,20000
17.1,-1.0,20000
17.2,-1.0,20000
17.3,-1.0,20000
17.400000000000002,-1.0,20000
17.5,-1.0,20000
17.5,20.0,20000
17.5,31.5,20000
17.6,-1.0,20000
17.7,-1.0,20000
17.8,-1.0,20000
17.900000000000002,-1.0,20000
18.0,-1.0,20000
18.1,-1.0,20000
18.2,-1.0,20000
18.2,40.6,20000
18.2,49.400000000000006,20000
18.3,-1.0,20000
18.400000000000002,-1.0,20000
18.5,-1.0,20000
18.6,-1.0,20000
18.7,-1.0,20000
18.8,-1.0,20000
18.900000000000002,-1.0,20000
19.0,-1.0,20000
19.0,42.1,20000
19.0,51.900000000000006,20000
19.1,-1.0,20000
19.200000000000003,-1.0,20000
19.3,-1.0,20000
19.400000000000002,-1.0,20000
19.5,-1.0,20000
19.6,-1.0,20000
19.700000000000003,-1.0,20000
19.8,-1.0,20000
19.900000000000002,-1.0,20000
20.0,-1.0,20000
20.0,44.0,20000
20.0,55.0,20000
20.1,-1.0,20000
20.200000000000003,-1.0,20000
20.3,-1.0,20000
20.400000000000002,-1.0,20000
20.400000000000002,22.8,20000
20.400000000000002,37.400000000000006,20000
20.5,-1.0,20000
20.6,-1.0,20000
20.700000000000003,-1.0,20000
20.8,-1.0,20000
20.900000000000002,-1.0,20000
21.0,-1.0,20000
21.1,-1.0,20000
21.200000000000003,-1.0,20000
21.3,-1.0,20000
21.400000000000002,-1.0,20000
21.5,-1.0,20000
21.6,-1.0,20000
21.700000000000003,-1.0,20000
21.8,-1.0,20000
21.900000000000002,-1.0,20000
22.0,-1.0,20000
22.1,-1.0,20000
22.200000000000003,-1.0,20000
22.3,-1.0,20000
22.400000000000002,-1.0,20000
22.5,-1.0,20000
22.6,-1.0,20000
22.700000000000003,-1.0,20000
22.8,-1.0,20000
22.8,49.400000000000006,20000
22.900000000000002,-1.0,20000
23.0,-1.0,20000
23.0,20.900000000000002,20000
23.1,-1.0,20000
23.1,1.1000000000000005,20000
23.1,21.0,20000
23.200000000000003,-1.0,20000
23.200000000000003,1.1000000000000005,20000
23.200000000000003,21.1,20000
23.3,-1.0,20000
23.3,21.200000000000003,20000
23.400000000000002,-1.0,20000
23.5,-1.0,20000
23.6,-1.0,20000
23.700000000000003,-1.0,20000
23.8,-1.0,20000
23.900000000000002,-1.0,20000
24.0,-1.0,20000
