Ubar,Mubar,code1_Density,code1_Phi2,code1_Energy,code2_Density,code2_Phi2,code2_Energy,diff_Density,diff_Phi2,diff_Energy
5.83,-0.46,0.3303,0.2641,-0.0921003415,0.330272,0.264107,-0.0921,2.799999999997249e-05,-6.999999999979245e-06,-3.415000000006607e-07
5.83,-0.45,0.3358,0.2673,-0.0954305855,0.335772,0.267266,-0.095431,2.799999999997249e-05,3.399999999997849e-05,4.145000000038701e-07
5.83,-0.44,0.3412,0.2704,-0.0988157114,0.341249,0.270366,-0.098816,-4.900000000002125e-05,3.399999999997849e-05,2.8859999999519825e-07
5.83,-0.43,0.3467,0.2734,-0.1022554923,0.346703,0.273408,-0.102255,-2.9999999999752447e-06,-8.000000000008e-06,-4.923000000017774e-07
5.83,-0.42,0.3521,0.2764,-0.1057497014,0.352135,0.276393,-0.10575,-3.4999999999951736e-05,6.999999999979245e-06,2.985999999899347e-07
5.83,-0.41,0.3575,0.2793,-0.1092981117,0.357543,0.279319,-0.109298,-4.300000000001525e-05,-1.8999999999991246e-05,-1.1169999999949276e-07
5.83,-0.4,0.3629,0.2822,-0.1129004962,0.362929,0.282189,-0.1129,-2.9000000000001247e-05,1.0999999999983245e-05,-4.962000000052758e-07
5.83,-0.39,0.3683,0.285,-0.1165566277,0.368293,0.285002,-0.116557,7.000000000034756e-06,-2.000000000002e-06,3.722999999955512e-07
5.83,-0.38,0.3736,0.2878,-0.1202662787,0.373633,0.287758,-0.120266,-3.300000000000525e-05,4.199999999998649e-05,-2.7870000000873585e-07
5.83,-0.37,0.379,0.2905,-0.1240292218,0.378951,0.290458,-0.124029,4.900000000002125e-05,4.199999999998649e-05,-2.218000000053788e-07
5.83,-0.36,0.3842,0.2931,-0.1278452294,0.384246,0.293101,-0.127845,-4.599999999999049e-05,-9.999999999732445e-07,-2.2940000002358296e-07
5.83,-0.35,0.3895,0.2957,-0.1317140737,0.389519,0.295689,-0.131714,-1.8999999999991246e-05,1.1000000000038757e-05,-7.369999999173871e-08
5.83,-0.34,0.3948,0.2982,-0.1356355269,0.394768,0.298221,-0.135636,3.199999999997649e-05,-2.0999999999993246e-05,4.731000000091079e-07
5.83,-0.33,0.4,0.3007,-0.139609361,0.399995,0.300697,-0.139609,5.000000000032756e-06,3.000000000030756e-06,-3.60999999976519e-07
5.83,-0.32,0.4052,0.3031,-0.1436353479,0.405198,0.303119,-0.143635,2.000000000002e-06,-1.9000000000046757e-05,-3.478999999750876e-07
5.83,-0.31,0.4104,0.3055,-0.1477132593,0.41038,0.305486,-0.147713,1.999999999996449e-05,1.4000000000014001e-05,-2.5929999999951825e-07
5.83,-0.3,0.4155,0.3078,-0.1518428669,0.415538,0.307798,-0.151843,-3.8000000000038e-05,2.000000000002e-06,1.3309999999377986e-07
5.83,-0.29,0.4207,0.3101,-0.1560239422,0.420673,0.310056,-0.156024,2.6999999999999247e-05,4.399999999998849e-05,5.780000000843444e-08
5.83,-0.28,0.4258,0.3123,-0.1602562565,0.425786,0.31226,-0.160256,1.4000000000014001e-05,4.0000000000040004e-05,-2.564999999898898e-07
5.83,-0.27,0.4309,0.3144,-0.1645395811,0.430875,0.31441,-0.16454,2.4999999999997247e-05,-1.0000000000010001e-05,4.1889999999322747e-07
5.83,-0.26,0.4359,0.3165,-0.1688736871,0.435942,0.316507,-0.168874,-4.199999999998649e-05,-6.999999999979245e-06,3.1289999999351004e-07
5.83,-0.25,0.441,0.3186,-0.1732583456,0.440986,0.31855,-0.173258,1.4000000000014001e-05,4.999999999999449e-05,-3.4560000000682933e-07
5.83,-0.24,0.446,0.3205,-0.1776933274,0.446006,0.320541,-0.177693,-6.0000000000060005e-06,-4.100000000001325e-05,-3.2739999999975566e-07
5.83,-0.23,0.451,0.3225,-0.1821784033,0.451004,0.322479,-0.182178,-4.000000000004e-06,2.0999999999993246e-05,-4.0330000000698973e-07
5.83,-0.22,0.456,0.3244,-0.1867133439,0.455979,0.324364,-0.186713,2.0999999999993246e-05,3.6000000000036e-05,-3.439000000049486e-07
5.83,-0.21,0.4609,0.3262,-0.1912979197,0.460932,0.326198,-0.191298,-3.2000000000032e-05,2.000000000002e-06,8.029999998271364e-08
5.83,-0.2,0.4659,0.328,-0.1959319011,0.465861,0.327979,-0.195932,3.899999999995574e-05,2.0999999999993246e-05,9.889999999512789e-08
5.83,-0.19,0.4708,0.3297,-0.2006150583,0.470767,0.329709,-0.200615,3.300000000000525e-05,-8.999999999981245e-06,-5.830000002204905e-08
5.83,-0.18,0.4756,0.3314,-0.2053471616,0.47565,0.331388,-0.205347,-4.999999999999449e-05,1.199999999995649e-05,-1.615999999926565e-07
5.83,-0.17,0.4805,0.333,-0.210127981,0.48051,0.333016,-0.210128,-1.0000000000010001e-05,-1.599999999996049e-05,1.9000000017754815e-08
5.83,-0.16,0.4853,0.3346,-0.2149572862,0.485347,0.334593,-0.214957,-4.699999999996374e-05,7.000000000034756e-06,-2.861999999770326e-07
5.83,-0.15,0.4902,0.3361,-0.2198348472,0.490161,0.336119,-0.219835,3.900000000001125e-05,-1.8999999999991246e-05,1.5280000001394178e-07
5.83,-0.14,0.495,0.3376,-0.2247604336,0.494952,0.337596,-0.22476,4.799999999999249e-05,4.000000000004e-06,-4.3360000001602117e-07
5.83,-0.13,0.4997,0.339,-0.229733815,0.49972,0.339022,-0.229734,-2.0000000000020002e-05,-2.199999999996649e-05,1.849999999858909e-07
5.83,-0.12,0.5045,0.3404,-0.2347547607,0.504465,0.340398,-0.234755,3.4999999999896225e-05,2.000000000002e-06,2.392999999822898e-07
5.83,-0.11,0.5092,0.3417,-0.2398230401,0.509187,0.341726,-0.239823,1.3000000000040757e-05,-2.599999999997049e-05,-4.00999999872198e-08
5.83,-0.1,0.5139,0.343,-0.2449384223,0.513886,0.343004,-0.244938,1.4000000000069512e-05,-3.999999999948489e-06,-4.2230000002474455e-07
5.83,-0.09,0.5186,0.3442,-0.2501006765,0.518561,0.344234,-0.250101,3.8999999999900226e-05,-3.399999999997849e-05,3.235000000101351e-07
5.83,-0.08,0.5232,0.3454,-0.2553095716,0.523214,0.345415,-0.25531,-1.399999999995849e-05,-1.5000000000042757e-05,4.283999999743493e-07
5.83,-0.07,0.5278,0.3465,-0.2605648765,0.527843,0.346547,-0.260565,-4.2999999999904226e-05,-4.700000000001925e-05,1.23500000004384e-07
5.83,-0.06,0.5324,0.3476,-0.2658663599,0.532449,0.347632,-0.265866,-4.899999999996574e-05,-3.199999999997649e-05,-3.5990000002428246e-07
5.83,-0.05,0.537,0.3487,-0.2712137904,0.537033,0.348669,-0.271214,-3.2999999999949736e-05,3.100000000000325e-05,2.0960000002290258e-07
5.83,-0.04,0.5416,0.3497,-0.2766069365,0.541593,0.349659,-0.276607,6.999999999979245e-06,4.100000000001325e-05,6.349999998045419e-08
5.83,-0.03,0.5461,0.3506,-0.2820455666,0.546129,0.350602,-0.282046,-2.8999999999945736e-05,-2.000000000002e-06,4.333999999994731e-07
5.83,-0.02,0.5506,0.3515,-0.287529449,0.550643,0.351497,-0.287529,-4.300000000001525e-05,2.9999999999752447e-06,-4.490000000134664e-07
5.83,-0.01,0.5551,0.3523,-0.2930583519,0.555134,0.352347,-0.293058,-3.399999999997849e-05,-4.700000000001925e-05,-3.519000000284933e-07
5.83,-0.0,0.5596,0.3531,-0.2986320434,0.559601,0.353149,-0.298632,-1.0000000000287557e-06,-4.899999999996574e-05,-4.339999998270727e-08
5.83,0.01,0.564,0.3539,-0.3042502914,0.564045,0.353906,-0.30425,-4.500000000007276e-05,-6.0000000000060005e-06,-2.913999999631933e-07
5.83,0.02,0.5685,0.3546,-0.3099128637,0.568466,0.354618,-0.309913,3.399999999997849e-05,-1.799999999996249e-05,1.3630000000874887e-07
5.83,0.03,0.5729,0.3553,-0.3156195282,0.572863,0.355284,-0.31562,3.6999999999953737e-05,1.6000000000016e-05,4.718000000125677e-07
5.83,0.04,0.5772,0.3559,-0.3213700524,0.577238,0.355905,-0.32137,-3.799999999998249e-05,-5.000000000032756e-06,-5.2400000005725644e-08
5.83,0.05,0.5816,0.3565,-0.3271642039,0.581589,0.356481,-0.327164,1.0999999999983245e-05,1.8999999999991246e-05,-2.0389999999537167e-07
5.83,0.06,0.5859,0.357,-0.3330017502,0.585917,0.357012,-0.333002,-1.7000000000044757e-05,-1.2000000000012001e-05,2.498000000183964e-07
5.83,0.07,0.5902,0.3575,-0.3388824586,0.590221,0.357499,-0.338882,-2.1000000000048757e-05,9.999999999732445e-07,-4.585999999751067e-07
5.83,0.08,0.5945,0.3579,-0.3448060962,0.594502,0.357942,-0.344806,-1.999999999946489e-06,-4.199999999998649e-05,-9.620000002152906e-08
5.83,0.09,0.5988,0.3583,-0.3507724303,0.59876,0.358342,-0.350772,4.0000000000040004e-05,-4.199999999998649e-05,-4.303000000205337e-07
5.83,0.1,0.603,0.3587,-0.356781228,0.602995,0.358698,-0.356781,5.000000000032756e-06,2.000000000002e-06,-2.2799999999101317e-07
5.83,0.11,0.6072,0.359,-0.362832256,0.607207,0.359012,-0.362832,-7.000000000090267e-06,-1.2000000000012001e-05,-2.5600000003178636e-07
5.83,0.12,0.6114,0.3593,-0.3689252813,0.611395,0.359282,-0.368925,5.000000000032756e-06,1.8000000000018e-05,-2.81300000015694e-07
5.83,0.13,0.6156,0.3595,-0.3750600707,0.615559,0.35951,-0.37506,4.100000000006876e-05,-1.0000000000010001e-05,-7.070000002107335e-08
5.83,0.14,0.6197,0.3597,-0.3812363908,0.619701,0.359696,-0.381236,-9.999999999177334e-07,4.000000000004e-06,-3.907999999719358e-07
5.83,0.15,0.6238,0.3598,-0.3874540082,0.623819,0.35984,-0.387454,-1.8999999999991246e-05,-3.999999999998449e-05,-8.199999956826076e-09
5.83,0.16,0.6279,0.3599,-0.3937126893,0.627914,0.359942,-0.393713,-1.399999999995849e-05,-4.199999999998649e-05,3.1070000000577025e-07
5.83,0.17,0.632,0.36,-0.4000122006,0.631985,0.360003,-0.400012,1.4999999999987246e-05,-3.000000000030756e-06,-2.005999999998842e-07
5.83,0.18,0.636,0.36,-0.4063523083,0.636033,0.360023,-0.406352,-3.2999999999949736e-05,-2.2999999999995246e-05,-3.0830000002923796e-07
5.83,0.19,0.6401,0.36,-0.4127327787,0.640057,0.360002,-0.412733,4.300000000001525e-05,-2.000000000002e-06,2.212999999917642e-07
5.83,0.2,0.6441,0.3599,-0.419153378,0.644059,0.359941,-0.419153,4.099999999995774e-05,-4.100000000001325e-05,-3.780000000230821e-07
5.83,0.21,0.648,0.3598,-0.4256138721,0.648036,0.35984,-0.425614,-3.599999999992498e-05,-3.999999999998449e-05,1.2789999997986357e-07
5.83,0.22,0.652,0.3597,-0.4321140271,0.651991,0.359699,-0.432114,9.000000000036756e-06,1.0000000000287557e-06,-2.7100000021818005e-08
5.83,0.23,0.6559,0.3595,-0.4386536089,0.655922,0.359518,-0.438654,-2.199999999996649e-05,-1.8000000000018e-05,3.9109999999675793e-07
5.83,0.24,0.6598,0.3593,-0.4452323833,0.659829,0.359299,-0.445232,-2.8999999999945736e-05,1.0000000000287557e-06,-3.832999999620057e-07
5.83,0.25,0.6637,0.359,-0.451850116,0.663713,0.35904,-0.45185,-1.3000000000040757e-05,-4.0000000000040004e-05,-1.1600000004996502e-07
5.83,0.26,0.6676,0.3587,-0.4585065728,0.667574,0.358743,-0.458507,2.599999999997049e-05,-4.299999999995974e-05,4.2719999998608316e-07
5.83,0.27,0.6714,0.3584,-0.4652015192,0.671411,0.358408,-0.465202,-1.0999999999983245e-05,-8.000000000008e-06,4.807999999800749e-07
5.83,0.28,0.6752,0.358,-0.4719347207,0.675225,0.358034,-0.471935,-2.4999999999941735e-05,-3.4000000000034e-05,2.793000000167467e-07
5.83,0.29,0.679,0.3576,-0.478705943,0.679015,0.357623,-0.478706,-1.4999999999987246e-05,-2.3000000000050758e-05,5.699999999775329e-08
5.83,0.3,0.6828,0.3572,-0.4855149512,0.682782,0.357175,-0.485515,1.799999999996249e-05,2.4999999999997247e-05,4.8799999985416065e-08
5.83,0.31,0.6865,0.3567,-0.4923615109,0.686526,0.356689,-0.492362,-2.599999999997049e-05,1.1000000000038757e-05,4.891000000006862e-07
5.83,0.32,0.6902,0.3562,-0.4992453873,0.690246,0.356167,-0.499245,-4.599999999999049e-05,3.300000000000525e-05,-3.8730000001541143e-07
5.83,0.33,0.6939,0.3556,-0.5061663457,0.693942,0.355608,-0.506166,-4.199999999998649e-05,-7.99999999995249e-06,-3.456999999595922e-07
5.83,0.34,0.6976,0.355,-0.5131241511,0.697615,0.355014,-0.513124,-1.4999999999987246e-05,-1.4000000000014001e-05,-1.5109999995654988e-07
5.83,0.35,0.7013,0.3544,-0.5201185688,0.701265,0.354383,-0.520119,3.500000000000725e-05,1.6999999999989246e-05,4.312000000394889e-07
5.83,0.36,0.7049,0.3537,-0.5271493638,0.704891,0.353717,-0.527149,8.999999999925734e-06,-1.6999999999989246e-05,-3.63800000013903e-07
5.83,0.37,0.7085,0.353,-0.5342163011,0.708493,0.353016,-0.534216,6.999999999979245e-06,-1.6000000000016e-05,-3.0109999993310765e-07
5.83,0.38,0.7121,0.3523,-0.5413191457,0.712072,0.35228,-0.541319,2.799999999991698e-05,2.0000000000020002e-05,-1.4569999995384109e-07
5.83,0.39,0.7156,0.3515,-0.5484576626,0.715628,0.351509,-0.548458,-2.8000000000028002e-05,-9.000000000036756e-06,3.3740000005000326e-07
5.83,0.4,0.7192,0.3507,-0.5556316166,0.719159,0.350705,-0.555632,4.099999999995774e-05,-4.999999999977245e-06,3.8339999997027974e-07
5.83,0.41,0.7227,0.3499,-0.5628407727,0.722668,0.349866,-0.562841,3.2000000000032e-05,3.399999999997849e-05,2.273000000441172e-07
5.83,0.42,0.7262,0.349,-0.5700848956,0.726153,0.348994,-0.570085,4.6999999999908226e-05,5.999999999950489e-06,1.0439999997835514e-07
5.83,0.43,0.7296,0.3481,-0.5773637501,0.729614,0.348088,-0.577364,-1.399999999995849e-05,1.2000000000012001e-05,2.4990000002667045e-07
5.83,0.44,0.7331,0.3471,-0.5846771011,0.733052,0.34715,-0.584677,4.799999999993698e-05,-4.999999999999449e-05,-1.0110000003837882e-07
5.83,0.45,0.7365,0.3462,-0.5920247131,0.736467,0.346178,-0.592025,3.300000000006076e-05,2.2000000000022002e-05,2.868999999794397e-07
5.83,0.46,0.7399,0.3452,-0.5994063511,0.739857,0.345175,-0.599406,4.300000000001525e-05,2.4999999999997247e-05,-3.51099999962301e-07
5.83,0.47,0.7432,0.3441,-0.6068217796,0.743225,0.34414,-0.606822,-2.5000000000052758e-05,-3.999999999998449e-05,2.2039999991729786e-07
5.83,0.48,0.7466,0.3431,-0.6142707634,0.746568,0.343073,-0.614271,3.2000000000032e-05,2.6999999999999247e-05,2.3660000003644654e-07
5.83,0.49,0.7499,0.342,-0.6217530671,0.749889,0.341974,-0.621753,1.0999999999983245e-05,2.6000000000026002e-05,-6.710000000076377e-08
5.83,0.5,0.7532,0.3408,-0.6292684554,0.753185,0.340845,-0.629268,1.4999999999987246e-05,-4.500000000001725e-05,-4.553999999323821e-07
5.83,0.51,0.7565,0.3397,-0.6368166929,0.756459,0.339685,-0.636817,4.099999999995774e-05,1.4999999999987246e-05,3.0709999998546067e-07
5.83,0.52,0.7597,0.3385,-0.6443975444,0.759708,0.338495,-0.644398,-8.000000000008e-06,5.000000000032756e-06,4.556000000599525e-07
5.83,0.53,0.7629,0.3373,-0.6520107744,0.762934,0.337274,-0.652011,-3.399999999997849e-05,2.599999999997049e-05,2.2560000001448088e-07
5.83,0.54,0.7661,0.336,-0.6596561477,0.766137,0.336024,-0.659656,-3.6999999999953737e-05,-2.399999999996849e-05,-1.4770000000829953e-07
5.83,0.55,0.7693,0.3347,-0.6673334288,0.769316,0.334745,-0.667333,-1.6000000000016e-05,-4.500000000001725e-05,-4.288000000629566e-07
5.83,0.56,0.7725,0.3334,-0.6750423826,0.772471,0.333436,-0.675042,2.8999999999945736e-05,-3.6000000000036e-05,-3.8260000001510974e-07
5.83,0.57,0.7756,0.3321,-0.6827827736,0.775603,0.332099,-0.682783,-3.000000000086267e-06,1.0000000000287557e-06,2.2640000008067318e-07
5.83,0.58,0.7787,0.3307,-0.6905543667,0.778712,0.330734,-0.690554,-1.2000000000012001e-05,-3.399999999997849e-05,-3.6670000003180547e-07
5.83,0.59,0.7818,0.3293,-0.6983569265,0.781797,0.32934,-0.698357,3.000000000086267e-06,-4.0000000000040004e-05,7.349999997519063e-08
5.83,0.6,0.7849,0.3279,-0.7061902178,0.784858,0.327919,-0.70619,4.2000000000097515e-05,-1.8999999999991246e-05,-2.178000000352398e-07
5.83,0.61,0.7879,0.3265,-0.7140540055,0.787896,0.326471,-0.714054,4.000000000004e-06,2.9000000000001247e-05,-5.500000010982831e-09
5.83,0.62,0.7909,0.325,-0.7219480545,0.79091,0.324995,-0.721948,-9.99999999995449e-06,5.000000000032756e-06,-5.449999995743582e-08
5.83,0.63,0.7939,0.3235,-0.7298721295,0.793901,0.323493,-0.729872,-9.999999999177334e-07,7.000000000034756e-06,-1.29500000056737e-07
5.83,0.64,0.7969,0.322,-0.7378259955,0.796869,0.321964,-0.737826,3.100000000000325e-05,3.6000000000036e-05,4.49999992824246e-09
5.83,0.65,0.7998,0.3204,-0.7458094176,0.799812,0.32041,-0.745809,-1.2000000000012001e-05,-9.99999999995449e-06,-4.1759999991342056e-07
5.83,0.66,0.8027,0.3188,-0.7538221608,0.802733,0.31883,-0.753822,-3.300000000006076e-05,-3.0000000000030003e-05,-1.6079999998197536e-07
5.83,0.67,0.8056,0.3172,-0.7618639902,0.80563,0.317225,-0.761864,-2.999999999997449e-05,-2.4999999999997247e-05,9.800000033699519e-09
5.83,0.68,0.8085,0.3156,-0.7699346709,0.808503,0.315594,-0.769935,-2.9999999999752447e-06,6.0000000000060005e-06,3.29100000029392e-07
5.83,0.69,0.8114,0.3139,-0.7780339683,0.811353,0.313939,-0.778034,4.700000000001925e-05,-3.900000000001125e-05,3.16999999583345e-08
5.83,0.7,0.8142,0.3123,-0.7861616476,0.814179,0.31226,-0.786162,2.1000000000048757e-05,4.0000000000040004e-05,3.524000000698635e-07
5.83,0.71,0.817,0.3106,-0.7943174743,0.816982,0.310557,-0.794317,1.799999999996249e-05,4.299999999995974e-05,-4.742999999418629e-07
5.83,0.72,0.8198,0.3088,-0.8025012139,0.819762,0.30883,-0.802501,3.799999999998249e-05,-2.999999999997449e-05,-2.1389999993459696e-07
5.83,0.73,0.8225,0.3071,-0.8107126319,0.822518,0.30708,-0.810713,-1.799999999996249e-05,1.999999999996449e-05,3.681000000366197e-07
5.83,0.74,0.8253,0.3053,-0.8189514941,0.825251,0.305308,-0.818951,4.900000000007676e-05,-8.000000000008e-06,-4.9410000002581e-07
5.83,0.75,0.828,0.3035,-0.8272175662,0.82796,0.303512,-0.827218,3.999999999992898e-05,-1.2000000000012001e-05,4.3380000003256924e-07
5.83,0.76,0.8306,0.3017,-0.8355106142,0.830646,0.301695,-0.835511,-4.599999999999049e-05,5.000000000032756e-06,3.858000000578343e-07
