g,Ubar,mu_lo_fit,mu_hi_fit
1,5.125628140703517,2.333614278388523,1.7871843080657495
1,5.201005025125628,2.299325249883985,1.8971916298536544
1,5.276381909547738,2.265816491942729,2.006406631539061
1,5.351758793969848,2.233078852706091,2.1148386332436755
1,5.427135678391959,2.201103180315415,2.2224969550892046
1,5.50251256281407,2.16988032291204,2.3293909171973546
1,5.57788944723618,2.139401128637306,2.4355298396898273
1,5.6532663316582905,2.1096564456325564,2.5409230426883314
1,5.7286432160804015,2.080637122039128,2.6455798463145714
1,5.8040201005025125,2.0523340059983624,2.749509570690254
1,5.879396984924623,2.0247379456516024,2.852721535937084
1,5.954773869346733,1.997839789140185,2.9552250621767637
1,6.030150753768844,1.971630384605452,3.0570294695310043
1,6.105527638190955,1.9461005801887443,3.1581440781215098
1,6.180904522613065,1.9212412240314016,3.258578208069981
1,6.256281407035175,1.8970431642747654,3.35834117949813
1,6.331658291457286,1.8734972490601756,3.45744231252766
1,6.407035175879397,1.850594326528972,3.5558909272802754
1,6.482412060301507,1.8283252448224967,3.653696343877683
1,6.557788944723617,1.8066808520820878,3.750867882441586
1,6.633165829145728,1.7856519964490873,3.8474148630936935
1,6.708542713567839,1.7652295260648354,3.943346605955709
1,6.783919597989949,1.745404289070672,4.038672431149337
1,6.859296482412059,1.7261671336079396,4.133401658796287
1,6.93467336683417,1.7075089078179764,4.227543609018262
1,7.010050251256281,1.6894204598421234,4.3211076019369665
1,7.085427135678391,1.6718926378217214,4.414102957674108
1,7.160804020100501,1.654916289898111,4.506538996351389
1,7.236180904522612,1.6384822642126318,4.59842503809052
1,7.311557788944723,1.6225814089066246,4.689770403013203
1,7.3869346733668335,1.6072045721214312,4.7805844112411435
1,7.462311557788944,1.59234260199839,4.870876382896047
1,7.537688442211055,1.5779863466788424,4.960655638099624
1,7.613065326633166,1.5641266543041288,5.049931496973574
1,7.688442211055276,1.5507543730155897,5.138713279639604
1,7.763819095477386,1.5378603509545656,5.227010306219421
1,7.839195979899497,1.5254354362623972,5.314831896834731
1,7.914572864321608,1.513470477080424,5.402187371607237
1,7.989949748743718,1.5019563215499876,5.489086050658646
1,8.065326633165828,1.4908838178124277,5.575537254110662
1,8.140703517587939,1.4802438140090848,5.661550302084994
1,8.21608040201005,1.4700271582812998,5.747134514703348
1,8.29145728643216,1.460224698770413,5.832299212087423
1,8.36683417085427,1.4508272836177643,5.9170537143589295
1,8.442211055276381,1.4418257609646945,6.001407341639574
1,8.517587939698492,1.4332109789525447,6.085369414051059
1,8.592964824120603,1.4249737857226543,6.168949251715093
1,8.668341708542712,1.4171050294163645,6.252156174753376
1,8.743718592964823,1.4095955581750155,6.334999503287622
1,8.819095477386934,1.4024362201399476,6.417488557439531
1,8.894472361809044,1.3956178634525014,6.499632657330808
1,8.969849246231155,1.3891313362540174,6.581441123083161
1,9.045226130653266,1.382967486685836,6.662923274818296
1,9.120603015075377,1.3771171628892975,6.744088432657916
1,9.195979899497488,1.3715712130057427,6.824945916723731
1,9.271356783919597,1.3663204851765118,6.9055050471374395
1,9.346733668341708,1.3613558275429454,6.985775144020753
1,9.422110552763819,1.3566680882463835,7.065765527495375
1,9.497487437185928,1.3522481154281674,7.145485517683011
