Ubar,Mu_true,Mu_pred,Abs_Diff
5.0,12.0,25.150000000000002,13.150000000000002
5.1000000000000005,12.2,25.55,13.350000000000001
5.2,12.4,25.950000000000003,13.550000000000002
5.300000000000001,12.6,26.35,13.750000000000002
5.4,12.8,26.75,13.95
5.5,13.0,27.150000000000002,14.150000000000002
5.6000000000000005,13.2,27.55,14.350000000000001
5.7,13.4,27.950000000000003,14.550000000000002
5.800000000000001,13.600000000000001,11.15,2.450000000000001
5.9,8.125,11.283333333333333,3.158333333333333
6.0,8.25,11.416666666666666,3.166666666666666
6.1000000000000005,8.375,11.616666666666667,3.241666666666667
6.2,8.5,11.75,3.25
6.300000000000001,8.625000000000002,11.916666666666666,3.2916666666666643
6.4,8.75,12.083333333333334,3.333333333333334
6.5,8.875,12.25,3.375
6.6000000000000005,9.0,12.416666666666666,3.416666666666666
6.7,9.125,12.550000000000002,3.4250000000000025
6.800000000000001,9.25,12.75,3.5
6.9,9.375000000000002,12.91666666666667,3.541666666666668
7.0,9.5,13.083333333333334,3.583333333333334
7.1000000000000005,9.625,13.216666666666669,3.5916666666666686
7.2,9.750000000000004,13.416666666666666,3.6666666666666625
7.300000000000001,9.875,13.583333333333334,3.708333333333334
7.4,10.000000000000002,13.750000000000002,3.75
7.5,10.125,13.916666666666666,3.791666666666666
7.7,10.375000000000002,14.283333333333333,3.9083333333333314
7.800000000000001,10.5,14.450000000000001,3.950000000000001
7.9,10.625000000000002,14.583333333333336,3.958333333333334
8.0,10.75,14.75,4.0
8.1,10.875000000000002,14.916666666666666,4.041666666666664
8.200000000000001,11.0,15.083333333333334,4.083333333333334
8.3,11.125,15.25,4.125
8.4,11.250000000000002,15.41666666666667,4.166666666666668
8.5,11.375,15.583333333333334,4.208333333333334
8.6,11.500000000000002,15.716666666666669,4.216666666666667
8.700000000000001,11.625,15.91666666666667,4.29166666666667
8.8,11.75,16.083333333333332,4.333333333333332
8.9,11.875000000000002,16.250000000000004,4.375000000000002
9.0,12.0,16.416666666666668,4.416666666666668
9.1,12.125000000000002,16.583333333333332,4.45833333333333
9.3,12.375,16.916666666666668,4.541666666666668
9.4,12.500000000000002,17.083333333333336,4.583333333333334
9.5,12.625,17.25,4.625
9.8,13.0,17.716666666666665,4.716666666666665
9.9,13.125000000000002,16.57,3.4449999999999985
10.0,13.666666666666666,16.630000000000003,2.9633333333333365
10.3,14.066666666666668,17.130000000000003,3.0633333333333344
10.4,14.200000000000003,17.29,3.0899999999999963
10.5,14.333333333333334,17.45,3.1166666666666654
10.8,14.733333333333334,17.93,3.1966666666666654
10.9,14.866666666666669,18.09,3.223333333333331
11.0,15.0,18.25,3.25
11.3,15.4,18.73,3.33
11.4,15.533333333333333,18.87,3.336666666666668
11.5,15.666666666666666,19.009999999999998,3.343333333333332
11.8,16.066666666666666,19.490000000000002,3.4233333333333356
11.9,16.2,19.67,3.4700000000000024
12.0,16.333333333333332,19.830000000000002,3.4966666666666697
12.3,16.733333333333334,20.31,3.5766666666666644
12.4,16.86666666666667,20.470000000000002,3.6033333333333317
12.5,17.0,20.630000000000003,3.6300000000000026
12.8,17.400000000000002,21.130000000000003,3.7300000000000004
12.9,17.533333333333335,21.29,3.756666666666664
