tx,U,mu,rho0,rho1,rho2,rho3,phi0_sq,phi1_sq,phi2_sq,phi3_sq,E0,iters
1.0,25.0,23.8,1.501,1.501,1.501,1.501,0.8036,0.8036,0.8036,0.8036,-103.933904,8
1.0,25.0,24.0,1.5134,1.5134,1.5134,1.5134,0.8104,0.8104,0.8104,0.8104,-105.13965,8
1.0,25.0,24.2,1.5256,1.5256,1.5256,1.5256,0.8167,0.8167,0.8167,0.8167,-106.355246,8
1.0,25.0,24.4,1.5378,1.5378,1.5378,1.5378,0.8225,0.8225,0.8225,0.8225,-107.580626,8
1.0,25.0,24.6,1.5499,1.5499,1.5499,1.5499,0.8279,0.8279,0.8279,0.8279,-108.815723,8
1.0,25.0,24.8,1.5619,1.5619,1.5619,1.5619,0.8329,0.8329,0.8329,0.8329,-110.060465,8
1.0,25.0,25.0,1.5738,1.5738,1.5738,1.5738,0.8374,0.8374,0.8374,0.8374,-111.314777,8
1.0,25.0,25.2,1.5857,1.5857,1.5857,1.5857,0.8414,0.8414,0.8414,0.8414,-112.57858,8
1.0,25.0,25.4,1.5974,1.5974,1.5974,1.5974,0.845,0.845,0.845,0.845,-113.851793,8
1.0,25.0,25.6,1.609,1.609,1.609,1.609,0.8482,0.8482,0.8482,0.8482,-115.13433,8
1.0,25.0,25.8,1.6205,1.6205,1.6205,1.6205,0.851,0.851,0.851,0.851,-116.426104,8
1.0,25.0,26.0,1.6318,1.6318,1.6318,1.6318,0.8534,0.8534,0.8534,0.8534,-117.727024,8
1.0,25.0,26.2,1.6431,1.6431,1.6431,1.6431,0.8553,0.8553,0.8553,0.8553,-119.036994,8
1.0,25.0,26.4,1.6542,1.6542,1.6542,1.6542,0.8569,0.8569,0.8569,0.8569,-120.355917,8
1.0,25.0,26.6,1.6652,1.6652,1.6652,1.6652,0.8581,0.8581,0.8581,0.8581,-121.683693,8
1.0,25.0,26.8,1.6761,1.6761,1.6761,1.6761,0.8589,0.8589,0.8589,0.8589,-123.020217,8
1.0,25.0,27.0,1.6868,1.6868,1.6868,1.6868,0.8593,0.8593,0.8593,0.8593,-124.365384,8
1.0,25.0,27.2,1.6974,1.6974,1.6974,1.6974,0.8594,0.8594,0.8594,0.8594,-125.719083,9
1.0,25.0,27.4,1.7079,1.7079,1.7079,1.7079,0.8591,0.8591,0.8591,0.8591,-127.081203,9
1.0,25.0,27.6,1.7182,1.7182,1.7182,1.7182,0.8585,0.8585,0.8585,0.8585,-128.451628,9
1.0,25.0,27.8,1.7283,1.7283,1.7283,1.7283,0.8576,0.8576,0.8576,0.8576,-129.830241,9
1.0,25.0,28.0,1.7383,1.7383,1.7383,1.7383,0.8564,0.8564,0.8564,0.8564,-131.216922,9
