t,Ubar,Mubar,Density,Phi2,Energy,Iters
1.000000,5.830000,-3.370000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.360000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.350000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.340000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.330000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.320000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.310000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.300000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.290000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.280000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.270000,0.000000,0.000000,0.000000,10
1.000000,5.830000,-3.260000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.250000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.240000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.230000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.220000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.210000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.200000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.190000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.180000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.170000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.160000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.150000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.140000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.130000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.120000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.110000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.100000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.090000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.080000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.070000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.060000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.050000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.040000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.030000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.020000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.010000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-3.000000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-2.990000,0.000000,0.000000,0.000000,11
